Sequence_ID, K, Tau, Lag-time(ns), occlusion_p,n
4ey1_2, NAN, NAN, NAN, 0, 8001
4ey1_3, NAN, NAN, NAN, 0, 8001
4ey1_4, 0.03628758732257877, 27.557632617194763, 6.889408154298691, 997, 8001
4ey1_5, 0.0006723467214078152, 1487.3278446366442, 371.83196115916104, 7995, 8001
4ey1_6, 0.0035190979314323858, 284.16373158247626, 71.04093289561906, 5983, 8001
4ey1_7, NAN, NAN, NAN, 0, 8001
4ey1_8, 0.012906938621803515, 77.47770631764791, 19.36942657941198, 131, 8001
4ey1_9, 0.0012180783270375921, 820.9652678346506, 205.24131695866265, 7899, 8001
4ey1_10, 0.001570961602566172, 636.5527956676319, 159.13819891690798, 7908, 8001
4ey1_11, 0.004297597202092438, 232.688163402823, 58.17204085070575, 4530, 8001
4ey1_12, 0.0006935869022441518, 1441.780398050231, 360.44509951255776, 7579, 8001
4ey1_13, 0.0003923437472269113, 2548.7853624991044, 637.1963406247761, 8001, 8001